"filename", "language", "wxml", "JSON", "JavaScript", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"d:\User_program\bs\xyyz-new\miniprogram\custom-tab-bar\index.wxml", "wxml", 66, 0, 0, 0, 0, 0, 2, 6, 74
"d:\User_program\bs\xyyz-new\miniprogram\custom-tab-bar\index.wxss", "CSS", 0, 0, 0, 76, 0, 0, 4, 11, 91
"d:\User_program\bs\xyyz-new\miniprogram\envList.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\User_program\bs\xyyz-new\miniprogram\images\review-anonymous-avatar.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 1, 12
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\action-sheet\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\action-sheet\index.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 1, 79
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\action-sheet\index.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\action-sheet\index.wxml", "wxml", 68, 0, 0, 0, 0, 0, 1, 2, 71
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\action-sheet\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\area\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\area\index.js", "JavaScript", 0, 0, 232, 0, 0, 0, 3, 1, 236
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\area\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\area\index.wxml", "wxml", 19, 0, 0, 0, 0, 0, 0, 2, 21
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\area\index.wxs", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 2, 9
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\area\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\button\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\button\index.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 1, 68
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\button\index.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\button\index.wxml", "wxml", 55, 0, 0, 0, 0, 0, 0, 2, 57
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\button\index.wxs", "JavaScript", 0, 0, 29, 0, 0, 0, 2, 9, 40
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\button\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\calendar.wxml", "wxml", 67, 0, 0, 0, 0, 0, 0, 4, 71
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\header\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\header\index.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 1, 46
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\header\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\header\index.wxml", "wxml", 14, 0, 0, 0, 0, 0, 0, 3, 17
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\header\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\month\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\month\index.js", "JavaScript", 0, 0, 157, 0, 0, 0, 1, 1, 159
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\month\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\month\index.wxml", "wxml", 35, 0, 0, 0, 0, 0, 0, 5, 40
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\month\index.wxs", "JavaScript", 0, 0, 58, 0, 0, 0, 1, 13, 72
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\components\month\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\index.js", "JavaScript", 0, 0, 375, 0, 0, 0, 8, 1, 384
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\index.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\index.wxml", "wxml", 23, 0, 0, 0, 0, 0, 0, 5, 28
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\index.wxs", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 10, 38
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\utils.d.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 1, 13
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\utils.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 1, 98
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\calendar\utils.wxs", "JavaScript", 0, 0, 19, 0, 0, 0, 1, 6, 26
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\card\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\card\index.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 1, 52
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\card\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\card\index.wxml", "wxml", 50, 0, 0, 0, 0, 0, 0, 7, 57
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\card\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cascader\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cascader\index.js", "JavaScript", 0, 0, 227, 0, 0, 0, 1, 1, 229
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cascader\index.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cascader\index.wxml", "wxml", 48, 0, 0, 0, 0, 0, 4, 4, 56
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cascader\index.wxs", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 5, 24
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cascader\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell-group\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell-group\index.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell-group\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell-group\index.wxml", "wxml", 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell-group\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell\index.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 1, 41
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell\index.wxml", "wxml", 40, 0, 0, 0, 0, 0, 0, 8, 48
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell\index.wxs", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 3, 18
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\cell\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox-group\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox-group\index.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 1, 40
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox-group\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox-group\index.wxml", "wxml", 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox-group\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox\index.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 1, 80
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox\index.wxml", "wxml", 30, 0, 0, 0, 0, 0, 0, 2, 32
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox\index.wxs", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 5, 21
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\checkbox\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\circle\canvas.d.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 1, 1, 5
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\circle\canvas.js", "JavaScript", 0, 0, 46, 0, 0, 0, 1, 1, 48
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\circle\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\circle\index.js", "JavaScript", 0, 0, 205, 0, 0, 0, 2, 1, 208
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\circle\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\circle\index.wxml", "wxml", 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\circle\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\col\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\col\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\col\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\col\index.wxml", "wxml", 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\col\index.wxs", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 4, 19
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\col\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse-item\animate.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 1, 3
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse-item\animate.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 1, 44
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse-item\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse-item\index.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 1, 64
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse-item\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse-item\index.wxml", "wxml", 44, 0, 0, 0, 0, 0, 0, 2, 46
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse-item\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse\index.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 1, 49
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse\index.wxml", "wxml", 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\collapse\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\color.d.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\color.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\component.d.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 1, 1, 5
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\component.js", "JavaScript", 0, 0, 44, 0, 0, 0, 5, 1, 50
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\relation.d.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 1, 1, 16
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\relation.js", "JavaScript", 0, 0, 64, 0, 0, 0, 1, 1, 66
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\style\clearfix.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\style\ellipsis.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\style\hairline.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\style\mixins\clearfix.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\style\mixins\ellipsis.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\style\mixins\hairline.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\style\var.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\utils.d.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 5, 1, 22
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\utils.js", "JavaScript", 0, 0, 106, 0, 0, 0, 3, 1, 110
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\validator.d.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\validator.js", "JavaScript", 0, 0, 42, 0, 0, 0, 1, 1, 44
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\version.d.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 1, 1, 16
